t v
3.792473274e+02 4.439442185e+00
3.799958118e+02 4.478628646e+00
3.807874426e+02 4.519418492e+00
3.815027873e+02 4.556221239e+00
3.825027873e+02 4.608191560e+00
3.835027873e+02 4.661152852e+00
3.845027873e+02 4.715350171e+00
3.855027873e+02 4.770337388e+00
3.865027873e+02 4.825116996e+00
3.875027873e+02 4.878972207e+00
3.885027873e+02 4.930244574e+00
3.895027873e+02 4.975533851e+00
3.905027873e+02 5.010599921e+00
3.915027873e+02 5.030304658e+00
3.925027873e+02 5.029294642e+00
3.935027873e+02 5.003113732e+00
3.945027873e+02 4.948248974e+00
3.955027873e+02 4.862007235e+00
3.965027873e+02 4.742291514e+00
3.975027873e+02 4.587457595e+00
3.985027873e+02 4.398577476e+00
3.995027873e+02 4.179870705e+00
4.005027873e+02 3.935793259e+00
4.015027873e+02 3.670340148e+00
4.025027873e+02 3.387442650e+00
4.032441413e+02 3.168837594e+00
4.039093822e+02 2.968951558e+00
4.045595354e+02 2.773255046e+00
4.052739183e+02 2.561051830e+00
4.060224014e+02 2.345076045e+00
4.068140417e+02 2.126909547e+00
4.075282347e+02 1.941314880e+00
4.085282347e+02 1.702346221e+00
4.095282347e+02 1.489784079e+00
4.105282347e+02 1.304666903e+00
4.115282347e+02 1.146168543e+00
4.125282347e+02 1.011940444e+00
4.135282347e+02 8.992608291e-01
4.145282347e+02 8.051448608e-01
4.155282347e+02 7.263396902e-01
4.165282347e+02 6.595484809e-01
4.175282347e+02 6.010268156e-01
4.185282347e+02 5.471566013e-01
4.195282347e+02 4.953659528e-01
4.205282347e+02 4.440069110e-01
4.215282347e+02 3.921288545e-01
4.225282347e+02 3.392352830e-01
4.235282347e+02 2.850864202e-01
4.245282347e+02 2.301276755e-01
4.255282347e+02 1.753590959e-01
4.265282347e+02 1.215016646e-01
4.275282347e+02 7.020170667e-02
4.285282347e+02 2.484767168e-02
4.292680861e+02 -2.564179940e-03
4.299332191e+02 -2.080953499e-02
4.305835180e+02 -3.108987346e-02
4.312981142e+02 -3.203048098e-02
4.320465955e+02 -1.967312984e-02
4.328382392e+02 9.991891925e-03
4.335518759e+02 5.259195465e-02
4.345518759e+02 1.394948629e-01
4.355518759e+02 2.598799094e-01
4.365518759e+02 4.153767751e-01
4.375518759e+02 6.048582555e-01
4.385518759e+02 8.240720670e-01
4.395518759e+02 1.068578139e+00
4.405518759e+02 1.334387461e+00
4.415518759e+02 1.617569372e+00
4.425518759e+02 1.913458826e+00
4.435518759e+02 2.214153250e+00
4.445518759e+02 2.509895111e+00
4.455518759e+02 2.792482446e+00
4.465518759e+02 3.055626516e+00
4.475518759e+02 3.294956767e+00
4.485518759e+02 3.507875427e+00
4.495518759e+02 3.693333778e+00
4.505518759e+02 3.852143094e+00
4.515518759e+02 3.986644258e+00
4.525518759e+02 4.099560658e+00
4.535518759e+02 4.193875191e+00
4.545518759e+02 4.272840491e+00
4.552910088e+02 4.323156415e+00
4.559560896e+02 4.364018333e+00
4.566064569e+02 4.401150293e+00
4.573211550e+02 4.439860100e+00
4.580696349e+02 4.479036059e+00
4.588612801e+02 4.519823429e+00
4.595746511e+02 4.556525856e+00
4.605746511e+02 4.608500995e+00
4.615746511e+02 4.661469175e+00
4.625746511e+02 4.715673178e+00
4.635746511e+02 4.770662393e+00
4.645746511e+02 4.825438268e+00
4.655746511e+02 4.879284661e+00
4.665746511e+02 4.930533422e+00
4.675746511e+02 4.975775632e+00
4.685746511e+02 5.010766755e+00
4.695746511e+02 5.030364405e+00
4.705746511e+02 5.029218128e+00
4.715746511e+02 5.002877517e+00
4.725746511e+02 4.947834925e+00
4.735746511e+02 4.861401492e+00
4.745746511e+02 4.741482890e+00
4.755746511e+02 4.586442098e+00
4.765746511e+02 4.397371473e+00
4.775746511e+02 4.178502936e+00
4.785746511e+02 3.934287999e+00
4.795746511e+02 3.668720307e+00
4.805746511e+02 3.385731284e+00
4.813134426e+02 3.167842538e+00
4.819784984e+02 2.968002937e+00
4.826288979e+02 2.772237907e+00
4.833436443e+02 2.559949211e+00
4.840921236e+02 2.344014653e+00
4.848837695e+02 2.125903348e+00
4.855970143e+02 1.940607772e+00
4.865970143e+02 1.701710561e+00
4.875970143e+02 1.489224861e+00
4.885970143e+02 1.304184534e+00
4.895970143e+02 1.145758244e+00
4.905970143e+02 1.011594569e+00
4.915970143e+02 8.989715149e-01
4.925970143e+02 8.049032823e-01
4.935970143e+02 7.261366934e-01
4.945970143e+02 6.593740865e-01
4.955970143e+02 6.008701844e-01
4.965970143e+02 5.470090033e-01
4.975970143e+02 4.952215464e-01
4.985970143e+02 4.438621482e-01
4.995970143e+02 3.919818094e-01
5.000000000e+02 3.708119123e-01
